frequency,s11
49218436.87374743 0.0,0.6850293426735323 -0.7285050961839724
49599198.39679352 0.0,0.64036347740104 -0.7680610204736095
49979959.91983961 0.0,0.5932412174454158 -0.805013060163932
50360721.442885704 0.0,0.543812123640971 -0.8391944932824736
50741482.965931796 0.0,0.4922387396290511 -0.8704468294717889
51122244.48897789 0.0,0.4386961916299488 -0.8986210052820606
51503006.01202398 0.0,0.38337165802005946 -0.9235785702969328
51883767.53507007 0.0,0.32646370642184724 -0.9451928477861842
52264529.05811616 0.0,0.2681814982844645 -0.963350052845464
52645290.58116225 0.0,0.20874386337665274 -0.9779503505944985
53026052.10420834 0.0,0.14837824917440168 -0.9889088370000649
53406813.627254434 0.0,0.08731955273766201 -0.9961564252983717
53787575.150300525 0.0,0.025808845260305746 -0.9996406218298978
54168336.67334662 0.0,-0.035907998032247646 -0.9993261763713184
54549098.19639271 0.0,-0.09758174765202665 -0.995195593741173
54929859.7194388 0.0,-0.1589613322438428 -0.9872494955400335
55310621.24248489 0.0,-0.21979539484124744 -0.9755068233178766
55691382.76553098 0.0,-0.2798338728849425 -0.9600048771824201
56072144.28857707 0.0,-0.33882958101843785 -0.940799186800818
56452905.81162316 0.0,-0.3965397752712716 -0.9179632148215568
56833667.334669255 0.0,-0.4527276773396054 -0.891587895865287
57214428.857715346 0.0,-0.5071639382802717 -0.8617810173106077
57595190.38076144 0.0,-0.5596280220321097 -0.828666451042698
57975951.90380753 0.0,-0.6099094907345999 -0.7923832480525943
58356713.42685362 0.0,-0.6578091757784841 -0.7530846101949273
58737474.94989971 0.0,-0.7031402208326014 -0.7109367554657486
59118236.4729458 0.0,-0.7457289856699265 -0.6661176947977675
59498997.99599189 0.0,-0.7854158023806139 -0.61881593955219
59879759.519037984 0.0,-0.8220555784228578 -0.5692291595962167
60260521.042084076 0.0,-0.8555182438351125 -0.517562812092105
60641282.56513017 0.0,-0.8856890427300007 -0.46402876090401524
61022044.08817626 0.0,-0.9124686718311881 -0.40884390588387143
61402805.61122235 0.0,-0.9357732712284001 -0.35222884027280454
61783567.13426844 0.0,-0.9555342746513291 -0.2944065531064626
62164328.65731453 0.0,-0.971698128350851 -0.2356011919059052
62545090.18036062 0.0,-0.9842258890877434 -0.17603689914167586
62925851.703406714 0.0,-0.9930927127375702 -0.11593673405218996
63306613.226452805 0.0,-0.9982872456087395 -0.055521689455195235
63687374.7494989 0.0,-0.9998109307284417 0.004990188709412622
64068136.27254499 0.0,-0.9976772410733015 0.06538457314744098
64448897.79559108 0.0,-0.9919108510033767 0.1254515139106115
64829659.31863717 0.0,-0.9825467559915434 0.1849859809445604
65210420.84168326 0.0,-0.9696293491082274 0.24378828831181248
65591182.36472935 0.0,-0.9532114605914997 0.30166439833153497
65971943.88777544 0.0,-0.9333533641488586 0.35842610364705274
66352705.410821535 0.0,-0.9101217503114003 0.41389108415319775
66733466.933867626 0.0,-0.8835886630604279 0.4678828334992447
67114228.45691372 0.0,-0.8538303908792495 0.5202304461029478
67494989.97995982 0.0,-0.8209262970817222 0.5707682496239881
67875751.5030059 0.0,-0.7849575663733956 0.6193352586661862
68256513.026052 0.0,-0.7460058346429865 0.6657744115769817
68637274.54909809 0.0,-0.7041516563874407 0.7099315311835265
69018036.07214418 0.0,-0.6594727483117675 0.751653918313183
69398797.59519027 0.0,-0.612041927988473 0.7907884378060164
69779559.11823636 0.0,-0.5619246430257476 0.8271788803219604
70160320.64128245 0.0,-0.5091759606033963 0.8606622628153209
70541082.16432855 0.0,-0.4538368652426529 0.8910635379712699
70921843.68737464 0.0,-0.3959297100053658 0.9181878704648211
71302605.21042073 0.0,-0.33545272221030564 0.9418091240722533
71683366.73346682 0.0,-0.2723736735136377 0.9616523490080661
72064128.25651291 0.0,-0.20662340935456935 0.9773666282013337
72444889.779559 0.0,-0.13809142303390964 0.988482255340537
72825651.30260509 0.0,-0.06662930836447023 0.9943423389629286
73206412.82565118 0.0,0.00792330071996522 0.9939930995383497
73587174.34869727 0.0,0.08565488619819495 0.9860103585060113
73967935.87174337 0.0,0.16635689614162974 0.9682402766890591
74348697.39478946 0.0,0.24897150389325082 0.9374767555555651
74729458.91783555 0.0,0.3303552473886717 0.8893137906507851
75110220.44088164 0.0,0.4029625221543536 0.8191292159744776
75490981.96392773 0.0,0.4523444931473862 0.7266144541621431
75871743.48697382 0.0,0.46057076845289524 0.6255656572590711
76252505.01001991 0.0,0.4248055872960905 0.5477552415785466
76633266.533066 0.0,0.3734876560938391 0.5183550195882006
77014028.0561121 0.0,0.3422997655931663 0.5284543481948613
77394789.57915819 0.0,0.3428685047965488 0.5512723944982638
77775551.10220428 0.0,0.36767037149370024 0.5683075869666435
78156312.62525037 0.0,0.4058721874902067 0.5730877348950492
78537074.14829646 0.0,0.4496586789876742 0.5653336166184889
78917835.67134255 0.0,0.49438575987569067 0.5467246136758076
79298597.19438864 0.0,0.53744132981539 0.5191809986812855
79679358.71743473 0.0,0.577343020043758 0.4843745564172198
80060120.24048083 0.0,0.6132101194244646 0.44367086245270065
80440881.76352692 0.0,0.6444830965617871 0.39818810417458167
80821643.28657301 0.0,0.670780549426266 0.3488700539627571
81202404.8096191 0.0,0.6918285175169089 0.2965461445147411
81583166.33266519 0.0,0.7074274860975593 0.24197500121531093
81963927.85571128 0.0,0.7174390827202468 0.1858738224602619
82344689.37875737 0.0,0.7217830479522405 0.12893677512013532
82725450.90180346 0.0,0.7204393987158122 0.07184502819521793
83106212.42484955 0.0,0.71345289189347 0.015270366220186507
83486973.94789565 0.0,0.7009380117549338 -0.04012619726741218
83867735.47094174 0.0,0.6830832900029324 -0.0936997154750806
84248496.99398783 0.0,0.6601540985683783 -0.14482959831293563
84629258.51703392 0.0,0.6324932760749419 -0.19293005181515874
85010020.04008001 0.0,0.6005191335023153 -0.23746183129146112
85390781.5631261 0.0,0.5647205693787407 -0.2779444577131925
85771543.0861722 0.0,0.5256492233146242 -0.3139680390372104
86152304.60921828 0.0,0.48390880733189423 -0.34520386104550366
86533066.13226438 0.0,0.44014196567807873 -0.37141298165969483
86913827.65531047 0.0,0.39501520808709006 -0.39245218551413036
87294589.17835656 0.0,0.34920261919582085 -0.4082768293814447
87675350.70140265 0.0,0.3033691503737277 -0.4189403225130445
88056112.22444874 0.0,0.25815433723495257 -0.4245902206842801
88436873.74749483 0.0,0.21415725202489894 -0.4254611461921416
88817635.27054092 0.0,0.1719233991328122 -0.4218649552153848
89198396.79358701 0.0,0.13193410656542998 -0.4141787389235506
89579158.3166331 0.0,0.09459877479966927 -0.4028313516990364
89959919.8396792 0.0,0.06025013855509225 -0.3882892027833108
90340681.36272529 0.0,0.029142497983682073 -0.3710420285601363
90721442.88577138 0.0,0.0014527016843854934 -0.3515892904259393
91102204.40881747 0.0,-0.022716472282925174 -0.33042773144936965
91482965.93186356 0.0,-0.043330982808243275 -0.30804048973046055
91863727.45490965 0.0,-0.06041873112276108 -0.2848880232955884
92244488.97795574 0.0,-0.07406180146744527 -0.2614009641452814
92625250.50100183 0.0,-0.08438820414979431 -0.237974897999586
93006012.02404793 0.0,-0.09156353419002605 -0.21496696783715394
93386773.54709402 0.0,-0.09578288958912974 -0.19269412632771654
93767535.07014011 0.0,-0.09726331742368362 -0.1714328144995702
94148296.5931862 0.0,-0.09623698051835627 -0.15141981903730242
94529058.11623229 0.0,-0.09294516752272154 -0.13285405469739933
94909819.63927838 0.0,-0.08763320811561742 -0.11589902711127086
95290581.16232447 0.0,-0.08054630442792798 -0.10068575039155828
95671342.68537056 0.0,-0.07192624996176994 -0.08731591957510598
96052104.20841666 0.0,-0.0620089777081434 -0.0758651667925608
96432865.73146275 0.0,-0.05102285865976364 -0.0663862596630694
96813627.25450884 0.0,-0.039187659022097865 -0.058912129011189605
97194388.77755493 0.0,-0.026714057612563513 -0.053458639471612966
97575150.30060102 0.0,-0.013803622757215585 -0.05002704029092881
97955911.82364711 0.0,-0.000649149173776287 -0.04860605446127161
98336673.3466932 0.0,0.012564741176785745 -0.04917358231958536
98717434.8697393 0.0,0.025660825288751802 -0.05169801119223258
99098196.39278539 0.0,0.03846841744876217 -0.056139135929860265
99478957.91583148 0.0,0.05082249830442188 -0.06244870666618861
99859719.43887757 0.0,0.06256290637905465 -0.0705706302317215
100240480.96192366 0.0,0.07353365652006048 -0.08044086068714938
100621242.48496975 0.0,0.08358244211048495 -0.09198702265266445
101002004.00801584 0.0,0.09256036962369674 -0.10512781863312812
101382765.53106193 0.0,0.10032196505516568 -0.11977227838831443
101763527.05410802 0.0,0.10672548171584606 -0.13581891445848554
102144288.57715411 0.0,0.11163352764843038 -0.15315485298739473
102525050.1002002 0.0,0.1149140184411519 -0.1716550126324443
102905811.6232463 0.0,0.11644144749573133 -0.19118140616726112
103286573.14629239 0.0,0.11609845104876129 -0.21158263886336495
103667334.66933848 0.0,0.1137776298298835 -0.23269367437859326
104048096.19238457 0.0,0.1093835737495672 -0.254335932234407
104428857.71543066 0.0,0.10283502122558857 -0.2763177707201567
104809619.23847675 0.0,0.0940670716265466 -0.2984353951168625
105190380.76152284 0.0,0.08303335888446961 -0.3204742136632948
105571142.28456894 0.0,0.06970808767345016 -0.3422106432000716
105951903.80761503 0.0,0.054087831638603534 -0.3634143437834055
106332665.33066112 0.0,0.03619299674067733 -0.3838508379533511
106713426.85370721 0.0,0.016068862267208443 -0.40328444723578327
107094188.3767533 0.0,-0.006213872579192925 -0.4214814574770702
107474949.89979939 0.0,-0.030559087900954074 -0.43821340738952974
107855711.42284548 0.0,-0.05684581450762006 -0.4532603826984744
108236472.94589157 0.0,-0.08492937603604837 -0.46641419266987516
108617234.46893767 0.0,-0.11464307146986297 -0.4774813072236833
108997995.99198376 0.0,-0.1458003398293626 -0.48628544138678387
109378757.51502985 0.0,-0.17819732375145692 -0.4926696889855682
109759519.03807594 0.0,-0.2116157281480231 -0.4964981281281429
110140280.56112203 0.0,-0.2458258553506234 -0.4976568456315593
110521042.08416812 0.0,-0.2805896897919544 -0.4960543542748446
110901803.60721421 0.0,-0.31566390339236317 -0.49162140368226753
