frequency,s11
181342685.37074292 0.0,-0.21709534038517475 0.9761327462781985
181723446.89378902 0.0,-0.2118602132014651 0.9772828525054066
182104208.41683513 0.0,-0.20665645289986445 0.978396955848887
182484969.93988124 0.0,-0.20148387168834692 0.9794757181701136
182865731.46292734 0.0,-0.19634228123093678 0.9805197876966519
183246492.98597345 0.0,-0.19123149274030404 0.9815297993558708
183627254.50901955 0.0,-0.18615131706578558 0.9825063750988869
184008016.03206566 0.0,-0.1811015647770633 0.9834501242150883
184388777.55511177 0.0,-0.17608204624368273 0.984361643637556
184769539.07815787 0.0,-0.17109257171061243 0.9852415182397066
185150300.60120398 0.0,-0.16613295137002007 0.9860903211234435
185531062.12425008 0.0,-0.1612029954294414 0.9869086138991168
185911823.6472962 0.0,-0.15630251417650376 0.9876969469575586
186292585.1703423 0.0,-0.15143131804036236 0.988455859734467
186673346.6933884 0.0,-0.14658921764999322 0.989185880967388
187054108.2164345 0.0,-0.1417760238894914 0.9898875289455423
187434869.7394806 0.0,-0.1369915479505106 0.9905613117527354
187815631.26252672 0.0,-0.13223560138196122 0.991207727503571
188196392.78557283 0.0,-0.12750799613710706 0.9918272645731945
188577154.30861893 0.0,-0.12280854461816038 0.9924204018207649
188957915.83166504 0.0,-0.11813705971850474 0.9929876088068678
189338677.35471115 0.0,-0.11349335486263445 0.993529346005053
189719438.87775725 0.0,-0.1088772440439274 0.9940460650076937
190100200.40080336 0.0,-0.10428854186034275 0.994538208726337
190480961.92384946 0.0,-0.09972706354812888 0.9950062115867259
190861723.44689557 0.0,-0.09519262501364546 0.9954504997186571
191242484.96994168 0.0,-0.09068504286337009 0.9958714911408331
191623246.49298778 0.0,-0.08620413443217756 0.9962695959408683
192004008.0160339 0.0,-0.08174971780996798 0.9966452164505917
192384769.53908 0.0,-0.07732161186671371 0.9969987474167988
192765531.0621261 0.0,-0.07291963627600295 0.99733057616758
193146292.5851722 0.0,-0.06854361153713673 0.9976410827743708
193527054.1082183 0.0,-0.06419335899585121 0.9979306402098455
193907815.63126442 0.0,-0.05986870086373153 0.9981996145017815
194288577.15431052 0.0,-0.05556946023635456 0.9984483648830136
194669338.67735663 0.0,-0.05129546111024452 0.9986772439375942
195050100.20040274 0.0,-0.047046528398676735 0.9988865977432763
195430861.72344884 0.0,-0.04282248794638277 0.9990767660104168
195811623.24649495 0.0,-0.03862316654321507 0.999248082217415
196192384.76954105 0.0,-0.03444839193680549 0.9994008737427833
196573146.29258716 0.0,-0.030297992844274594 0.999535461993947
196953907.81563327 0.0,-0.02617179896302657 0.9996521625328679
197334669.33867937 0.0,-0.022069640980670213 0.9997512851985827
197715430.86172548 0.0,-0.017991350584117605 0.9998331342267489
198096192.3847716 0.0,-0.013936760467875288 0.9998980083662711
198476953.9078177 0.0,-0.009905704341589994 0.9999462009931072
198857715.4308638 0.0,-0.005898016936864314 0.99997800022132
199238476.9539099 0.0,-0.0019135340133822343 0.9999936890114582
199619238.476956 0.0,0.002047907635622126 0.9999935452763397
200000000.00000212 0.0,0.005986470178526326 0.9999778419843095
